page	type	http_status	root_kind	internal_count	external_count	to_service_count	has_clickHere	weak_anchor_count	empty_anchor_count	noopener_missing_count	broken_anchors_count	duplicated_hrefs_count	repeated_anchor_top_pct	density_per_1000_chars	gate_rouge	gate_orange
https://axion-ia.com/fr/blog/3-quick-wins-2026	article	200	main	4	0	1	no	0	0	0	0	0	0	1.53		
https://axion-ia.com/fr/blog/ia-custom-quand-vraiment	article	200	main	4	0	1	no	0	0	0	0	0	0	1.47		
https://axion-ia.com/fr/blog/pourquoi-auditer-avant-implementer	article	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/actualites	article-listing	200	main	0	0	0	no	0	0	0	0	0	0	0		
https://axion-ia.com/fr/blog	article-listing	200	main	8	0	1	no	0	0	0	0	0	0	3.6		
https://axion-ia.com/fr/cas-concrets/industrie-comptabilite	case-study	200	main	1	0	1	no	0	0	0	0	0	0	0.38		
https://axion-ia.com/fr/cas-concrets/cabinet-juridique-comptes-rendus	case-study	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/cas-concrets/retail-tickets-sav	case-study	200	main	1	0	1	no	0	0	0	0	0	0	0.41		
https://axion-ia.com/fr/cas-concrets/banque-onboarding	case-study	200	main	1	0	1	no	0	0	0	0	0	0	0.4		
https://axion-ia.com/fr/cas-concrets/tpe-artisan-prospection	case-study	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/faq/definition	faq	200	main	6	0	1	no	0	0	0	0	0	0	4.01		
https://axion-ia.com/fr/faq/modules	faq	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/faq/data-security	faq	200	main	6	0	1	no	0	0	0	0	0	0	3.91		
https://axion-ia.com/fr/faq/tools	faq	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/faq/billing	faq	200	main	6	0	1	no	0	0	0	0	0	0	4.31		
https://axion-ia.com/fr/connaissances/definition	kb	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/connaissances/modules	kb	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/connaissances/data-security	kb	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/connaissances/tools	kb	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/connaissances/billing	kb	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/implantations/ile-de-france/paris	pseo-city	200	main	21	0	13	no	0	0	0	0	1	10	0.95		
https://axion-ia.com/fr/implantations/auvergne-rhone-alpes/lyon	pseo-city	200	main	2	0	1	no	0	0	0	0	0	0	2.2		
https://axion-ia.com/fr/audit/par-ville/marseille	pseo-city	200	main	2	0	1	no	0	0	0	0	0	0	2.84		
https://axion-ia.com/fr/interventions/par-ville/toulouse	pseo-city	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/implementation/par-ville/bordeaux	pseo-city	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/guide-ia	guide	503		0	0	0	no	0	0	0	0	0	0	0	fetch-failed:503	
https://axion-ia.com/fr/stack-ia	guide	200	main	4	0	4	no	0	0	0	0	0	0	0.2		
