page,impressions,clicks,ctr,position
"https://axion-ia.com/fr",5,0,0.0000,2.40
"https://axion-ia.com/fr/a-propos",1,0,0.0000,2.00
"https://axion-ia.com/fr/centre-aide",1,0,0.0000,17.00
"https://axion-ia.com/fr/faq/accompagnement-post-implementation",1,0,0.0000,7.00
"https://axion-ia.com/fr/faq/choisir-cabinet-ia",8,0,0.0000,48.88
"https://axion-ia.com/fr/faq/geo-distance-international",2,0,0.0000,5.50
"https://axion-ia.com/fr/faq/qu-est-ce-qu-une-implementation",5,0,0.0000,16.00
"https://axion-ia.com/fr/faq/qu-est-ce-qu-une-intervention",2,0,0.0000,3.00
"https://axion-ia.com/fr/faq/support-apres-vente",2,0,0.0000,9.50
"https://axion-ia.com/fr/glossaire",1,0,0.0000,63.00
"https://axion-ia.com/fr/implantations/guadeloupe",3,0,0.0000,31.00
"https://axion-ia.com/fr/implantations/ile-de-france/paris",1,0,0.0000,25.00
"https://axion-ia.com/fr/implantations/provence-alpes-cote-d-azur/aix-en-provence/implementations",2,0,0.0000,1.50
"https://axion-ia.com/fr/implementation/par-fonction/communication-interne",2,0,0.0000,26.50
"https://axion-ia.com/fr/implementation/par-fonction/service-client",1,0,0.0000,3.00
"https://axion-ia.com/fr/implementation/par-ville/nancy",2,0,0.0000,5.50
"https://axion-ia.com/fr/implementation/par-ville/rennes",1,0,0.0000,11.00
"https://axion-ia.com/fr/interventions/claude-implementation-individuel",3,0,0.0000,6.67
"https://axion-ia.com/fr/sites-web-augmentes",1,0,0.0000,63.00
"https://axion-ia.com/fr/stack-ia/v0",1,0,0.0000,11.00
"https://axion-ia.com/fr/transparence",2,0,0.0000,10.00
"https://axion-ia.com/fr/un-a-un/par-ville/nice",1,0,0.0000,41.00
"https://axion-ia.com/galerie/axion-ia-formation-ia-1-jour-sur-mesure-generique-reserver-carre",6,0,0.0000,5.00
"https://axion-ia.com/galerie/axion-ia-intervention-ia-rapide-resultats-concrets-entreprise-carre",5,0,0.0000,3.60
"https://www.axion-ia.com/",1,0,0.0000,3.00
"https://www.axion-ia.com/cookies",1,0,0.0000,9.00
"https://www.axion-ia.com/fr/guide-ia",1,0,0.0000,3.00
"https://www.axion-ia.com/fr/interventions/dirigeants",4,0,0.0000,6.50
