url,http_status,auth_gated,noindex_present,data_leak_risk,severity,notes
/fr/admin-dev-x7k2n9/dashboard,302,yes,yes,no,OK,"middleware redirect to /fr/admin-dev-x7k2n9/login; page.tsx explicit auth() + redirect; layout.tsx robots:{index:false,follow:false}"
/fr/admin-dev-x7k2n9/users,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth(); RBAC role check (super_admin only)"
/fr/admin-dev-x7k2n9/content-gen,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth() + redirect"
/fr/admin-dev-x7k2n9/content-gen/campaigns,302,yes,yes,no,OK,"middleware redirect; content-gen sub-layout; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/content-gen/articles,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/content-gen/review-queue,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/image-bank,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth(); metadata robots:{index:false} also set at page level"
/fr/admin-dev-x7k2n9/submissions,302,yes,yes,no,OK,"middleware redirect (Layer 1); no page-level auth(); SubmissionsV2 calls listSubmissionsAction which calls requireAdminReadSession() - throws 'unauthorized' on no session; error boundary shows error page not data"
/fr/admin-dev-x7k2n9/reservations,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/options,302,yes,yes,no,OK,"middleware redirect (Layer 1); no page-level auth(); OptionsV2 calls listOptionsAction which calls requireAdminRead() - throws 'unauthorized' on no session"
/fr/admin-dev-x7k2n9/calendrier,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/settings,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth() + redirect"
/fr/admin-dev-x7k2n9/site-explorer,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth(); metadata robots:{index:false} also set at page level"
/fr/admin-dev-x7k2n9/analytics,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/blog,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/connaissances,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/devis,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/factures,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/faq,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/help,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/alerts,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/activity-logs,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/testimonials,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/newsletter,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/infra,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/paiements,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/echeanciers,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/web-vitals,302,yes,yes,no,OK,"middleware redirect; page.tsx explicit auth()"
/fr/admin-dev-x7k2n9/content-gen/monitoring,302,yes,yes,no,OK,"middleware redirect (Layer 1 only); stub page - immediateRedirect() to /jobs?status=failed; no data exposed at all"
/fr/admin-dev-x7k2n9/content-gen/coverage/new,302,yes,yes,no,OK,"middleware redirect (Layer 1 only); stub page - permanentRedirect to /campaigns/new; no data exposed"
/fr/admin-dev-x7k2n9/content-gen/geo/batches/[id],302,yes,yes,no,OK,"middleware redirect (Layer 1 only); stub page - redirect() to /coverage/[id]; no data exposed"
/fr/admin-dev-x7k2n9/content-gen/orchestrator/adhoc,302,yes,yes,no,OK,"middleware redirect (Layer 1 only); client component - server action dispatchAdHocJob calls requireAdminWriteRateLimited(); noindex in metadata also set at page level"
/fr/admin-dev-x7k2n9/login,200,no,yes,no,OK,"intentionally accessible without auth (login form); no sensitive data; redirects to dashboard if already logged in"
/api/admin/submissions/export,403,yes,N/A,no,OK,"API route - no middleware coverage; auth via exportSubmissionsCsvAction → requireAdminWriteSession() - throws 'unauthorized' → 403 response"
/api/admin/newsletter/export,403,yes,N/A,no,OK,"API route - no middleware coverage; auth via exportSubscribersCsvAction → requireAdminRead() - throws 'unauthorized' → 403 response"
